Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
0, Incidents Incurred but Not Yet Received - Unquantified contingent liability for claims not yet received,2012-04-01,2043-03-31,"£810,000,000.00",£100m to £500m,> 50%,0,No,0,Uncertain Cost - Uncertain Cost,Individual or Household,Individual or Household,Mixed,No Exposure to Listed Risks,Unquantifiable,Non-remote ALB,"The reasonable worst case is not able to be quantified as we have no data on the total population of potential claimants. Expected loss has been estimated with reference to the profile of average time delay from incident to application. This is not considered to be accurate or reliable enough to use for disclosure in the Annual Accounts and has only been provided for this data collection exercise as an indication of expected cost. All of the cost is part of the normal course of business and subject to routine financial management. No crystallised payments to date have been disclosed as no payment is made until after an application is received and processed, this CL only includes applications not yet received.",Ongoing,P,2023,Core," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 ",0.5,0.75,1,Private,£50m to £100m,> £500m," £50,000,000.00 "," £75,000,000.00 "," £100,000,000.00 "," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",31,20," £5,000,000.00 "," £15,000,000.00 "," £25,000,000.00 "," £607,500,000.00 "
1,Guarantee to GMPF for pension liabilities of Community Rehabilitation Services which became admitted bodies within the GMPF upon transfer into HMPPS,2014-04-01,2054-03-31,"£400,000.00",< £1m,< 1%,0,No,0,Guarantee - Pension Guarantee,Public Corporation,Section K,Section K,No Exposure to Listed Risks,Unquantifiable,Remote ALB,"Liability only exists while there are original transferred employees still within the CRSs, pension scheme is closed to new members. The end date is estimated to align with retirement of remaining relevant employees",Ongoing,P,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",40,31, £-   ," £16,000.00 "," £32,000.00 "," £2,000.00 "
2,Heathrow Holdings - indemnity for damage or injury caused airside or on an aeroplane due to HMPPS negligence during repatriation of prisoners,2016-04-01,2073-03-31,"£250,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Fault Indemnity,Public Corporation,Section H,Section H,No Exposure to Listed Risks,Quantifiable,Remote ALB,,Ongoing,P,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",57,50, £-   ," £10,000.00 "," £20,000.00 "," £1,250,000.00 "
3,Legal Claims brought against the dept for personal injury,2016-04-01,2025-03-31,"£34,700,000.00",£10m to £50m,> 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Mixed,Mixed,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,"Large volume of individually low value claims, high probability that at least something will be paid out for one of these current claims therefore probability of over 50%",Ongoing,P,2023,Core," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",0.5,0.75,1,Private,£5m to £10m,£10m to £50m," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 "," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",9,2," £5,000,000.00 "," £15,000,000.00 "," £25,000,000.00 "," £26,025,000.00 "
4,Other legal claims eg Human Rights Act violations,2016-04-01,2025-03-31,"£7,700,000.00",£1m to £5m,> 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Mixed,Mixed,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,"Large volume of individually low value claims, high probability that at least something will be paid out for one of these current claims therefore probability of over 50%",Ongoing,P,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£5m to £10m, £-   ," £500,000.00 "," £1,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",9,2," £500,000.00 "," £1,500,000.00 "," £2,500,000.00 "," £5,775,000.00 "
5,Employment Tribunal claims against HMPPS,2016-04-01,2025-03-31,"£2,900,000.00",£1m to £5m,> 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Mixed,Mixed,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,"Large volume of individually low value claims, high probability that at least something will be paid out for one of these current claims therefore probability of over 50%",Ongoing,P,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",9,2," £500,000.00 "," £1,500,000.00 "," £2,500,000.00 "," £2,175,000.00 "
6,Other legal claims HMCTS,2022-05-01,2025-03-31,"£360,000.00",< £1m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Individual or Household,,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,"Multiple individual cases, likely to be resolved by the date given but new similar cases likely to be received in future. Amounts crystallised entered at zero as no interim payments have been made for this specific population of CLs and any payments made in previous years related to previous cases no longer recognised as CLs.",Ongoing,P,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.25,0.375,0.5,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",2.92,2, £-   ," £250,000.00 "," £500,000.00 "," £135,000.00 "
7,Personal Injury claims against HMCTS,2019-07-01,2025-03-31,"£220,000.00",< £1m,> 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Individual or Household,Individual or Household,Section M,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,"Large volume of individually low value claims, high probability that at least something will be paid out for one of these current claims therefore probability of over 50%",Ongoing,P,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.75,2, £-   ," £250,000.00 "," £500,000.00 "," £165,000.00 "
8,Employee litigation against HMCTS,2021-09-01,2025-03-31,"£217,000.00",< £1m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Individual or Household,Individual or Household,Section M,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,"Multiple individual cases, likely to be resolved by the date given but new similar cases likely to be received in future. Amounts crystallised entered at zero as no interim payments have been made for this specific population of CLs and any payments made in previous years related to previous cases no longer recognised as CLs.",Ongoing,P,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.25,0.375,0.5,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",3.58,2, £-   ," £250,000.00 "," £500,000.00 "," £81,375.00 "
9,"Fee Refund schemes, ",2017-10-01,2026-10-30,"£18,900,000.00",£5m to £10m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Individual or Household,Individual or Household,Section M,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,Worst case and expected loss only includes element not able to be accrued or provided for and excludes any amounts paid in previous years for this scheme,Ongoing,P,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.25,0.375,0.5,Private,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",9.08,3.58," £1,397,000.00 "," £2,095,000.00 "," £2,793,000.00 "," £7,087,500.00 "
10,Employment Tribunals fee refund scheme,2017-07-01,2023-07-31,"£13,800,000.00",£1m to £5m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Individual or Household,Individual or Household,Section M,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,Crystallised to date entered as zero as the CL only relates to the remaining uncertain liability and excludes payments made in current and previous years or amounts accrued or provided for.,Ongoing,P,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.25,0.375,0.5,Private,< £1m,£5m to £10m, £-   ," £500,000.00 "," £1,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",6.08,0.33," £3,030,000.00 "," £9,091,000.00 "," £15,152,000.00 "," £5,175,000.00 "
