quarters,date,North,Yorks & H,N West,E Mids,W Mids,E Anglia,Outer SE,Outer Met,London,S West,Wales,Scotland,N Ireland,UK
Q1 1983,01/01/1983,2.9,3.5,3.0,3.1,3.3,3.7,3.6,3.8,4.0,3.8,3.3,3.5,3.0,3.4
Q2 1983,01/04/1983,2.9,3.6,3.1,3.2,3.3,3.8,3.7,3.9,4.1,3.9,3.4,3.6,3.0,3.5
Q3 1983,01/07/1983,3.0,3.6,3.0,3.2,3.3,3.9,3.7,3.9,4.2,3.9,3.4,3.6,3.0,3.5
Q4 1983,01/10/1983,3.0,3.6,3.0,3.2,3.3,3.9,3.7,4.0,4.2,3.9,3.4,3.6,3.0,3.5
Q1 1984,01/01/1984,3.0,3.6,3.1,3.2,3.3,4.0,3.8,4.1,4.4,4.0,3.4,3.6,3.1,3.6
Q2 1984,01/04/1984,3.1,3.7,3.1,3.3,3.4,4.1,3.9,4.2,4.5,4.0,3.5,3.7,3.1,3.7
Q3 1984,01/07/1984,3.1,3.7,3.1,3.2,3.3,4.1,3.9,4.2,4.5,4.1,3.5,3.7,3.1,3.6
Q4 1984,01/10/1984,3.1,3.8,3.2,3.3,3.4,4.2,4.0,4.3,4.6,4.2,3.5,3.8,3.1,3.7
Q1 1985,01/01/1985,3.1,3.8,3.2,3.4,3.5,4.2,4.1,4.4,4.8,4.2,3.5,3.8,3.1,3.7
Q2 1985,01/04/1985,3.2,3.9,3.2,3.4,3.5,4.3,4.1,4.4,4.9,4.2,3.5,3.8,3.0,3.8
Q3 1985,01/07/1985,3.1,3.8,3.2,3.4,3.4,4.2,4.2,4.6,4.9,4.3,3.4,3.7,3.1,3.8
Q4 1985,01/10/1985,3.1,3.8,3.1,3.3,3.4,4.2,4.3,4.8,5.0,4.2,3.5,3.7,3.0,3.8
Q1 1986,01/01/1986,3.0,3.7,3.1,3.4,3.3,4.1,4.5,4.8,5.1,4.3,3.4,3.6,2.9,3.7
Q2 1986,01/04/1986,3.1,3.8,3.1,3.4,3.3,4.2,4.7,5.1,5.2,4.4,3.5,3.7,3.0,3.8
Q3 1986,01/07/1986,3.0,3.7,3.1,3.4,3.3,4.2,4.8,5.3,5.5,4.5,3.4,3.7,3.0,3.8
Q4 1986,01/10/1986,3.1,3.7,3.1,3.5,3.4,4.4,4.9,5.5,5.7,4.5,3.5,3.6,2.9,3.9
Q1 1987,01/01/1987,3.0,3.8,3.1,3.6,3.5,4.5,5.1,5.9,6.0,4.6,3.4,3.6,2.8,4.0
Q2 1987,01/04/1987,3.1,3.9,3.1,3.6,3.6,4.8,5.4,6.1,6.3,4.8,3.5,3.6,2.9,4.1
Q3 1987,01/07/1987,3.0,3.8,3.1,3.6,3.7,5.0,5.5,6.3,6.5,4.9,3.4,3.5,2.8,4.1
Q4 1987,01/10/1987,2.8,3.7,3.0,3.5,3.6,5.0,5.5,6.1,6.2,4.9,3.3,3.4,2.6,4.0
Q1 1988,01/01/1988,2.8,3.6,3.0,3.6,3.7,5.4,5.7,6.2,6.2,5.1,3.4,3.2,2.6,4.0
Q2 1988,01/04/1988,2.8,3.8,3.0,3.9,4.1,6.0,6.1,6.4,6.3,5.7,3.5,3.3,2.6,4.2
Q3 1988,01/07/1988,2.9,4.2,3.2,4.5,4.8,6.7,6.6,6.8,6.6,6.4,3.8,3.3,2.5,4.6
